name,recclass,mass,fall,year,reclat,reclong,GeoLocation,,nametype,id
Asuka 881565,H5,49.69,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4274
Asuka 881566,H4,179.96,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4275
Asuka 881567,LL3.9,740.76,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4276
Asuka 881568,H4,25.46,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4277
Asuka 881570,L6,58.26,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4279
Asuka 881571,H6,222.64,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4280
Asuka 881572,H6,11.92,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4281
Asuka 881573,H6,19.27,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4282
Asuka 881574,H5,15.29,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4283
Asuka 881575,EH3,37.49,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4284
Asuka 881576,H5,95.59,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4285
Asuka 881580,H6,94.42,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4289
Asuka 881581,L6,52.63,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4290
Asuka 881582,H4,61.64,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4291
Asuka 881583,L6,12.68,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4292
Asuka 881584,LL6,11.32,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4293
Asuka 881588,LL6,11.98,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4297
Asuka 881590,L5,261.64,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4299
Asuka 881591,H4,12.94,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4300
Asuka 881594,CM2,35.74,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4303
Asuka 881595,CR2,126.59,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4304
Asuka 881597,H3.8,21.25,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4306
Asuka 881599,H6,25.46,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4308
Asuka 881600,H,27.52,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4309
Asuka 881601,L5,86.84,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4310
Asuka 881603,H6,12.68,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4312
Asuka 881604,L6,457.53,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4313
Asuka 881606,H4,27.89,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4315
Asuka 881607,LL3.0,15.79,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4316
Asuka 881608,LL6,1143.05,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4317
Asuka 881609,H3.7,60.71,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4318
Asuka 881610,H5,290.11,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4319
Asuka 881611,LL6,13.08,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4320
Asuka 881612,EL6,19.16,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4321
Asuka 882056,L6,40.19,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4765
Asuka 882057,H4,274.92,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4766
Asuka 882058,H4,2902,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4767
Asuka 882059,EH3,33.52,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4768
Asuka 882060,H4,554.12,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4769
Asuka 882061,LL6,528.4,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4770
Asuka 882062,H4,1728.59,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4771
Asuka 882063,H4,1171.38,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4772
Asuka 882065,H6,100.85,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4774
Asuka 882066,LL6,104.54,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4775
Asuka 882067,EL3,15.62,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4776
Asuka 882068,L4,303.14,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4777
Asuka 882069,H4,264.61,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4778
Asuka 882070,L4,65.48,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4779
Asuka 882071,H5,16.83,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4780
Asuka 882073,H3,296.44,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4782
Asuka 882074,LL4,251.96,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4783
Asuka 882076,H6,269.73,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4785
Asuka 882078,H5,14.03,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4787
Asuka 882079,H5,28.97,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4788
Asuka 882081,H4,89.06,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4790
Asuka 882082,H5,48.97,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4791
Asuka 882083,H6,569.07,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4792
Asuka 882084,LL4,151.56,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4793
Asuka 882085,L6,101.24,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4794
Asuka 882086,H3,107.78,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4795
Asuka 882087,L6,213.2,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4796
Asuka 882088,L,11.37,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4797
Asuka 882089,H4,19.42,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4798
Asuka 882090,L6,12.56,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4799
Asuka 882091,H5,189.63,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4800
Asuka 882092,LL4,73.81,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4801
Asuka 882093,H4,1606.34,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4802
Asuka 882094,CO3,112.89,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4803
Asuka 882095,H4,133.64,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4804
Asuka 882096,L5,56.75,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4805
Asuka 882097,L4,280.77,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4806
Asuka 882098,LL4,180.9,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4807
Asuka 882099,LL4,22.19,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4808
Asuka 882101,L6,35.62,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4810
Asuka 882102,L3,992.45,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4811
Asuka 882103,LL6,126.01,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4812
Asuka 882104,L6,14.31,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4813
Asuka 882105,H4,61.9,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4814
Asuka 882106,L6,290.34,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4815
Asuka 882107,L6,23.58,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4816
Asuka 882108,L4,532.11,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4817
Asuka 882109,L,171.03,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4818
Asuka 882110,H4,66.21,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4819
Asuka 882111,LL5,59.27,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4820
Asuka 882113,C4,53.98,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4822
Asuka 882114,L6,855.61,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4823
Asuka 882115,H4,86.06,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4824
Asuka 882116,H4,163.8,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4825
Asuka 882118,LL3,48.61,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4827
Asuka 882119,L4,219.62,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4828
Asuka 882120,H4,155.59,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4829
Asuka 882121,H6,3686,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4830
Asuka 882122,H4,214.93,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4831
Asuka 882123,H3,21.83,Found,1988,-72,26,"(-72.000000, 26.000000)",,Valid,4832
Bir Zar 002,L4/5,331,Found,2008,31.93833,10.28403,"(31.938330, 10.284030)",,Valid,48905
Bir Zar 003,H3,39,Found,2008,31.49972,9.87722,"(31.499720, 9.877220)",,Valid,48906
Bir Zar 004,H6,19,Found,2008,31.87164,10.19361,"(31.871640, 10.193610)",,Valid,48907
Bir Zar 005,H4,17,Found,2008,31.89689,10.19572,"(31.896890, 10.195720)",,Valid,48908
Bir Zar 006,H6,21,Found,2008,31.89831,10.19528,"(31.898310, 10.195280)",,Valid,48909
Bir Zar 007,L6,5.2,Found,2008,31.92181,10.1875,"(31.921810, 10.187500)",,Valid,48910
Bir Zar 008,H6,200,Found,2008,31.92644,10.18961,"(31.926440, 10.189610)",,Valid,48911
Bir Zar 009,H5-6,21,Found,2008,31.92644,10.18961,"(31.926440, 10.189610)",,Valid,48912
Bischtübe,"Iron, IAB-sLL",48250,Found,1888,51.95,62.2,"(51.950000, 62.200000)",,Valid,5057
Bishop Canyon,"Iron, IVA",8600,Found,1912,38,-108.5,"(38.000000, -108.500000)",,Valid,5058
Bison,LL6,11000,Found,1958,38.30667,-99.71,"(38.306670, -99.710000)",,Valid,5061
Bitburg,"Iron, IAB complex",1500000,Found,1805,49.96667,6.53333,"(49.966670, 6.533330)",,Valid,5062
Black Mountain,"Iron, IAB-MG",800,Found,1839,35.58333,-82.35,"(35.583330, -82.350000)",,Valid,5066
Black Rock 001,L6,152,Found,2003,40.86717,-119.18352,"(40.867170, -119.183520)",,Valid,32765
Blackwater Draw,H4,1500,Found,1979,34.20583,-103.22222,"(34.205830, -103.222220)",,Valid,5067
Blackwood Creek,H6,67,Found,1998,40.5,-101.08333,"(40.500000, -101.083330)",,Valid,5069
Blaine Lake,L6,1896.4,Found,1974,52.77,-106.89667,"(52.770000, -106.896670)",,Valid,5070
Blakeman,L4,113.7,Found,1983,39.91667,-101.2,"(39.916670, -101.200000)",,Valid,56564
Blanca Estela,"Iron, IAB complex",15600,Found,2002,-25,-69.5,"(-25.000000, -69.500000)",,Valid,45973
Bledsoe,H4,30500,Found,1970,33.59167,-103.02667,"(33.591670, -103.026670)",,Valid,5074
Blithfield,EL6,1830,Found,1910,45.5,-77,"(45.500000, -77.000000)",,Valid,5075
Blue Eagle,R3-6,70,Found,2006,38.66167,-115.51833,"(38.661670, -115.518330)",,Valid,45972
Blue Tier,Iron,1400,Found,1890,-41.18333,148.03333,"(-41.183330, 148.033330)",,Valid,5077
Camp Wood,"Iron, IIIAB",148000,Found,,29.7725,-99.875,"(29.772500, -99.875000)",,Valid,51830
Campbellsville,"Iron, IIIAB",15400,Found,1929,37.36667,-85.36667,"(37.366670, -85.366670)",,Valid,5245
Campinorte,"Iron, ungrouped",2000000,Found,1992,-14.258,-49.15917,"(-14.258000, -49.159170)",,Valid,52093
Campo de Pucara (iron),Iron,41,Found,1879,-27.66667,-67.11667,"(-27.666670, -67.116670)",,Valid,5246
Campo del Cielo,"Iron, IAB-MG",50000000,Found,1575,-27.46667,-60.58333,"(-27.466670, -60.583330)",,Valid,5247
Canton,"Iron, IIIAB",7030,Found,1894,34.2,-84.48333,"(34.200000, -84.483330)",,Valid,5254
Canyon,H?,860,Found,1957,34.96667,-101.93333,"(34.966670, -101.933330)",,Valid,5255
Canyon City,"Iron, IIIAB",8600,Found,1875,40.9,-123.1,"(40.900000, -123.100000)",,Valid,5256
Canyon Diablo,"Iron, IAB-MG",30000000,Found,1891,35.05,-111.03333,"(35.050000, -111.033330)",,Valid,5257
Canyonlands,H6,1520,Found,1961,38.18333,-109.88333,"(38.183330, -109.883330)",,Valid,5258
Cape of Good Hope,"Iron, IVB",136000,Found,1793,-33.5,26,"(-33.500000, 26.000000)",,Valid,5261
Cape York,"Iron, IIIAB",58200000,Found,1818,76.13333,-64.93333,"(76.133330, -64.933330)",,Valid,5262
Caperr,"Iron, IIIAB",113900,Found,1869,-45.28333,-70.48333,"(-45.283330, -70.483330)",,Valid,5263
Capot Rey,H5,38000,Found,2004,20.12593,10.2056,"(20.125930, 10.205600)",,Valid,30449
Carbo,"Iron, IID",454000,Found,1923,29.66667,-111.5,"(29.666670, -111.500000)",,Valid,5266
Carcote,H5,392,Found,1888,-24,-69,"(-24.000000, -69.000000)",,Valid,5267
Cardanumbi,L5,6.4,Found,1966,-32.1,125.68333,"(-32.100000, 125.683330)",,Valid,5268
Cargo Muchacho Mountains,CO3,2860,Found,2000,32.91745,-114.767183,"(32.917450, -114.767183)",,Valid,50912
Carichic,H5,17000,Found,1983,27.93333,-107.05,"(27.933330, -107.050000)",,Valid,5270
Carlisle Lakes,R3.8,49.5,Found,1977,-29.16667,127.08333,"(-29.166670, 127.083330)",,Valid,5271
Carlisle Lakes 002,H4/5,410,Found,1977,-29.16667,127.16667,"(-29.166670, 127.166670)",,Valid,5272
Carlisle Lakes 003,H4/5,116,Found,1977,-29.15,127.16667,"(-29.150000, 127.166670)",,Valid,5273
Carlisle Lakes 004,H5,809,Found,1977,-29.16667,127.16667,"(-29.166670, 127.166670)",,Valid,5274
Carlisle Lakes 005,H5,502,Found,1977,-29.18333,127.16667,"(-29.183330, 127.166670)",,Valid,5275
Carlton,"Iron, IAB-sLM",81200,Found,1887,31.91667,-98.03333,"(31.916670, -98.033330)",,Valid,5277
Carnegie,L6,132700,Found,1963,35.16667,-98.64389,"(35.166670, -98.643890)",,Valid,5278
Caroline,H5,800,Found,1941,-37.98333,140.98333,"(-37.983330, 140.983330)",,Valid,5279
Carraweena,L3.9,31600,Found,1914,-29.23333,139.93333,"(-29.233330, 139.933330)",,Valid,5281
Carthage,"Iron, IIIAB",127000,Found,1840,36.26667,-85.98333,"(36.266670, -85.983330)",,Valid,5282
Cartoonkana,L6,294,Found,1914,-29.75,141.03333,"(-29.750000, 141.033330)",,Valid,5283
Carver,"Iron, IIAB",94000,Found,1935,32,-86,"(32.000000, -86.000000)",,Valid,5284
Casas Grandes,"Iron, IIIAB",1545000,Found,1867,30.4,-107.8,"(30.400000, -107.800000)",,Valid,5285
Casey County,"Iron, IAB-MG",723,Found,1877,37.25,-85,"(37.250000, -85.000000)",,Valid,5286
Cashion,H4,5896.8,Found,1936,35.84778,-97.70333,"(35.847780, -97.703330)",,Valid,5287
Casilda,H5,5250,Found,1937,-33.1,-61.13333,"(-33.100000, -61.133330)",,Valid,5288
Casimiro de Abreu,"Iron, IIIAB",25000,Found,1947,-22.46667,-42.21667,"(-22.466670, -42.216670)",,Valid,5289
Castenaso,L5,120,Found,2003,44.495,11.35556,"(44.495000, 11.355560)",,Valid,30450
Castray River,Iron,10,Found,1899,-41.5,145.41667,"(-41.500000, 145.416670)",,Valid,5294
Cat Mountain,L5,2700,Found,1981,32.14833,-111.11167,"(32.148330, -111.111670)",,Valid,5297
Catalina 002,LL3,61.1,Found,2010,-25.23333,-69.71667,"(-25.233330, -69.716670)",,Valid,55756
Catalina 003,"Iron, IVB",3180,Found,1999,-25.20467,-69.82858,"(-25.204670, -69.828580)",,Valid,56101
Catalina 004,Mesosiderite,37.5,Found,2010,-25.23333,-69.71667,"(-25.233330, -69.716670)",,Valid,56279
Catalina 005,H4,228,Found,2010,-25.23333,-69.71667,"(-25.233330, -69.716670)",,Valid,56671
Catalina 006,H5/6,19.5,Found,2010,-25.23333,-69.71667,"(-25.233330, -69.716670)",,Valid,56672
Catalina 007,H4,11.9,Found,2010,-25.23333,-69.71667,"(-25.233330, -69.716670)",,Valid,56673
Catalina 008,CO3,98,Found,2011,-25.23333,-69.71667,"(-25.233330, -69.716670)",,Valid,57172
Catalina 026,H~5,845,Found,2009,-25.23333,-69.71667,"(-25.233330, -69.716670)",,Valid,57294
Catalina 027,L6,2408,Found,2010,-25.23333,-69.71667,"(-25.233330, -69.716670)",,Valid,57295
Catalina 028,H5,4993,Found,2010,-25.23333,-69.71667,"(-25.233330, -69.716670)",,Valid,57296
Catalina 029,H~5,169,Found,2010,-25.23333,-69.71667,"(-25.233330, -69.716670)",,Valid,57297
Catalina 030,H~5,214,Found,2010,-25.23333,-69.71667,"(-25.233330, -69.716670)",,Valid,57298
Catalina 031,L~6,1178,Found,2010,-25.23333,-69.71667,"(-25.233330, -69.716670)",,Valid,57299
Catalina 032,H4,1107,Found,2010,-25.23333,-69.71667,"(-25.233330, -69.716670)",,Valid,57300
Catalina 033,L~6,211,Found,2010,-25.23333,-69.71667,"(-25.233330, -69.716670)",,Valid,57301
Catalina 034,LL5,20,Found,2010,-25.23333,-69.71667,"(-25.233330, -69.716670)",,Valid,57327
Catalina 035,H~5,904,Found,2011,-25.23333,-69.71667,"(-25.233330, -69.716670)",,Valid,57328
Catalina 036,H~5,42,Found,2011,-25.23333,-69.71667,"(-25.233330, -69.716670)",,Valid,57329
Catherwood,L6,3920,Found,1965,51.965,-107.43833,"(51.965000, -107.438330)",,Valid,5298
Cave Creek,H4,1492,Found,1992,31.7045,-110.77917,"(31.704500, -110.779170)",,Valid,5299
Cavour,H6,26210,Found,1938,44.221494,-98.059192,"(44.221494, -98.059192)",,Valid,5300
Cedar (Kansas),H6,4900,Found,1937,39.7,-98.98333,"(39.700000, -98.983330)",,Valid,5302
Cedar (Texas),H4,26000,Found,1900,29.82806,-96.90861,"(29.828060, -96.908610)",,Valid,5303
Cedartown,"Iron, IIAB",11300,Found,1898,34.01667,-85.26667,"(34.016670, -85.266670)",,Valid,5304
Cee Vee,H5,3600,Found,1959,34.2,-100.48333,"(34.200000, -100.483330)",,Valid,5305
Cerro del Inca,"Iron, IIIF",20600,Found,1997,-22.21667,-68.90833,"(-22.216670, -68.908330)",,Valid,5309
Cerro La Tiza,H4,3740,Found,2002,-14.53321,-75.77511,"(-14.533210, -75.775110)",,Valid,44877
Cerro los Calvos,H4-an,68,Found,1986,24.33333,-102.13333,"(24.333330, -102.133330)",,Valid,5310
Chamberlin,H5,2400,Found,1941,36.2,-102.45,"(36.200000, -102.450000)",,Valid,5317
Chambord,"Iron, IIIAB",6600,Found,1904,48.45,-72.06667,"(48.450000, -72.066670)",,Valid,5318
Chañaral,"Iron, IIIAB",1207,Found,1884,-26.5,-70.25,"(-26.500000, -70.250000)",,Valid,5319
Chandler,L6,350.4,Found,2009,33.24558,-111.89633,"(33.245580, -111.896330)",,Valid,53491
Changxing,H5,27900,Found,1964,31.33333,121.66667,"(31.333330, 121.666670)",,Valid,5323
Channing,H5,15300,Found,1936,35.71667,-102.28333,"(35.716670, -102.283330)",,Valid,5324
Charcas,"Iron, IIIAB",1400000,Found,1804,23.08333,-101.01667,"(23.083330, -101.016670)",,Valid,5326
Chaunskij,Mesosiderite-an,1990,Found,1985,69.1,172.6,"(69.100000, 172.600000)",,Valid,5333
Chebankol,"Iron, IAB-sHL",127760,Found,1938,53.66667,88,"(53.666670, 88.000000)",,Valid,5335
Cheder,"Iron, IID",5390,Found,2003,51.53333,94.6,"(51.533330, 94.600000)",,Valid,5336
Chesterville,"Iron, IIAB",16500,Found,1849,34.7,-81.2,"(34.700000, -81.200000)",,Valid,5343
Chicago Valley,L5,26,Found,2004,36.00217,-116.19633,"(36.002170, -116.196330)",,Valid,44706
Chico,L6,104800,Found,1954,36.5,-104.2,"(36.500000, -104.200000)",,Valid,5346
Chico Hills,H4,8030,Found,1951,36,-104.5,"(36.000000, -104.500000)",,Valid,5347
Chico Mountains,"Iron, IIAB",212,Found,1915,29,-103.25,"(29.000000, -103.250000)",,Valid,5348
Chihuahua City,"Iron, IC",54000,Found,1929,28.66667,-106.11667,"(28.666670, -106.116670)",,Valid,5350
Chilkoot,"Iron, IIIAB",43000,Found,1881,59.33333,-136,"(59.333330, -136.000000)",,Valid,5351
Chinautla,"Iron, IVA-an",5720,Found,1902,14.5,-90.5,"(14.500000, -90.500000)",,Valid,5352
Chinga,"Iron, ungrouped",209400,Found,1913,51.05833,94.4,"(51.058330, 94.400000)",,Valid,5353
Chinguetti,Mesosiderite-B1,4050,Found,1920,20.25,-12.68333,"(20.250000, -12.683330)",,Valid,5354
Chocolate Mountains,Ureilite,699,Found,2004,33.01222,-114.86667,"(33.012220, -114.866670)",,Valid,52013
Choolkooning 001,L6,2000,Found,1991,-29.91667,129.83333,"(-29.916670, 129.833330)",,Valid,5360
Chuckwalla,"Iron, IAB-MG",1802,Found,1992,35.25,-118.09067,"(35.250000, -118.090670)",,Valid,5361
Chulafinnee,"Iron, IIIAB",16220,Found,1873,33.5,-85.66667,"(33.500000, -85.666670)",,Valid,5362
Chupaderos,"Iron, IIIAB",24300000,Found,1852,27,-105.1,"(27.000000, -105.100000)",,Valid,5363
Cimarron,CM2,,Found,1948,37.85,-100.35,"(37.850000, -100.350000)",,Valid,5365
Cincinnati,"Iron, IIAB",1500,Found,1870,39.11667,-84.5,"(39.116670, -84.500000)",,Valid,5366
Circle Back,L6,2268,Found,1977,34.02806,-102.68,"(34.028060, -102.680000)",,Valid,5367
Clarendon (a),H5,1964,Found,1979,34.905,-100.91333,"(34.905000, -100.913330)",,Valid,5369
Clarendon (b),H5,26.8,Found,1981,34.93611,-100.94167,"(34.936110, -100.941670)",,Valid,5370
Clareton,L6,1050,Found,1931,43.7,-104.7,"(43.700000, -104.700000)",,Valid,5371
Clarion,H4,20,Found,1986,12.5,-137.7,"(12.500000, -137.700000)",,Valid,5372
Clark County,"Iron, IIIF",11300,Found,1937,38,-84.16667,"(38.000000, -84.166670)",,Valid,5373
Claytonville,L5,15600,Found,1964,34.34667,-101.49,"(34.346670, -101.490000)",,Valid,5375
Claytonville (b),OC,5136,Found,1978,34.34833,-101.65833,"(34.348330, -101.658330)",,Valid,5376
Cleburne,"Iron, IVA",6800,Found,1907,32.31667,-97.41667,"(32.316670, -97.416670)",,Valid,5377
Cleo Springs,H4,24000,Found,1960,36.43333,-98.43333,"(36.433330, -98.433330)",,Valid,5378
Cleveland,"Iron, IIIAB",115000,Found,1860,34.88333,-84.78333,"(34.883330, -84.783330)",,Valid,5379
Clifford,L6,11360,Found,1962,39.1,-103.25833,"(39.100000, -103.258330)",,Valid,5380
Clinton,Iron,7700,Found,1950,36.08333,-84.2,"(36.083330, -84.200000)",,Valid,5381
Clipperton,H3.5,277,Found,1986,11.7,-137.8,"(11.700000, -137.800000)",,Valid,5382
Clover Springs,Mesosiderite-A2,7700,Found,1954,34.45,-111.36667,"(34.450000, -111.366670)",,Valid,5384
Clovis (no. 1),H3.6,283000,Found,1961,34.3,-103.13472,"(34.300000, -103.134720)",,Valid,5385
Clovis (no. 2),L6,41300,Found,1963,34.3,-103.13333,"(34.300000, -103.133330)",,Valid,5386
Coahuila,"Iron, IIAB",2100000,Found,1837,28.7,-102.73333,"(28.700000, -102.733330)",,Valid,5387
Cobija,H6,6530,Found,1892,-22.56667,-70.25,"(-22.566670, -70.250000)",,Valid,5388
Cochabamba,CM2,85,Found,,,,,,Valid,5389
Cockarrow Creek,L6,429,Found,1970,-26.66667,120.16667,"(-26.666670, 120.166670)",,Valid,5390
Cockburn,L6,2460,Found,1946,-32.13333,141.03333,"(-32.133330, 141.033330)",,Valid,5391
Cocklebiddy,H5,19500,Found,1949,-31.93333,126.21667,"(-31.933330, 126.216670)",,Valid,5392
Cocunda,L6,482,Found,1945,-32.81667,134.8,"(-32.816670, 134.800000)",,Valid,5393
Coffeyville,H5,35900,Found,2006,37.01667,-95.66667,"(37.016670, -95.666670)",,Valid,51051
Colby (Kansas),H5,2400,Found,1940,39.41667,-101.05,"(39.416670, -101.050000)",,Valid,5394
Cold Bay,"Pallasite, PES",320,Found,1921,55.18333,-162.55,"(55.183330, -162.550000)",,Valid,5396
Coldwater (iron),Iron,18400,Found,1923,37.26667,-99.33333,"(37.266670, -99.333330)",,Valid,5398
Coldwater (stone),H5,16000,Found,1924,37.26667,-99.33333,"(37.266670, -99.333330)",,Valid,5399
Cole Creek,H5,16300,Found,1991,41.35,-99.11667,"(41.350000, -99.116670)",,Valid,5400
Colfax,"Iron, IAB-ung",2300,Found,1880,35.3,-81.73333,"(35.300000, -81.733330)",,Valid,5402
Colomera,"Iron, IIE",134000,Found,1912,37.43333,-3.65,"(37.433330, -3.650000)",,Valid,5404
Colonia Obrera,"Iron, IIIE",12200,Found,1973,24.01667,-104.66667,"(24.016670, -104.666670)",,Valid,5405
Colony,CO3.0,3912,Found,1975,35.35,-98.68333,"(35.350000, -98.683330)",,Valid,5407
Colorado Springs,Iron,,Found,1950,38.83333,-104.83333,"(38.833330, -104.833330)",,Valid,5408
Colton,"Iron, IIIAB",19670,Found,1993,46.57056,-117.09861,"(46.570560, -117.098610)",,Valid,5410
Columbus,H5,165,Found,1997,31.82967,-107.3945,"(31.829670, -107.394500)",,Valid,5411
Colville Lake 001,H5,56.2,Found,1986,-29.6,126.50667,"(-29.600000, 126.506670)",,Valid,5412
Colville Lake 002,H5,100,Found,1986,-29.785,126.58833,"(-29.785000, 126.588330)",,Valid,5413
Comanche (iron),"Iron, IAB-sLL",19700,Found,1940,32.01667,-98.7,"(32.016670, -98.700000)",,Valid,5414
Comanche (stone),L5,2400,Found,1956,31.99167,-98.65167,"(31.991670, -98.651670)",,Valid,5415
Commodore,H6,304.3,Found,1972,-31.2,138.3,"(-31.200000, 138.300000)",,Valid,5416
Conception Junction,"Pallasite, PMG-an",17000,Found,2006,40.266667,-94.683333,"(40.266667, -94.683333)",,Valid,53877
Concho,L6,93500,Found,1939,32,-101.5,"(32.000000, -101.500000)",,Valid,5417
Contis-Plage,H5,44,Found,2000,44.08333,-1.31667,"(44.083330, -1.316670)",,Valid,55768
Cook,Unknown,,Found,,,,,,Valid,5420
Cook 001,H5,105000,Found,1989,-30.33333,130.53333,"(-30.333330, 130.533330)",,Valid,5421
Cook 002,L4,61,Found,1989,-30.25,130.66667,"(-30.250000, 130.666670)",,Valid,5422
Cook 003,CK4,1536.9,Found,1986,-30.31833,129.06333,"(-30.318330, 129.063330)",,Valid,5423
Cook 004,H4,149,Found,1991,-30.70167,130.45611,"(-30.701670, 130.456110)",,Valid,5424
Cook 005,L/LL3,97,Found,1990,-30.24833,130.54083,"(-30.248330, 130.540830)",,Valid,5425
Cook 006,L4,41.8,Found,1991,-30.50683,130.404,"(-30.506830, 130.404000)",,Valid,5426
Cook 007,H4,100000,Found,1989,-30.61667,130.41667,"(-30.616670, 130.416670)",,Valid,5427
Cook 009,H4,84.2,Found,1991,-30.50683,130.404,"(-30.506830, 130.404000)",,Valid,5428
Cook 010,H5,35.4,Found,1991,-30.16967,130.70533,"(-30.169670, 130.705330)",,Valid,5429
